fn,ln,misc1,misc2,misc3,misc4,misc5,misc6
Baruh, Ruben, geb. 1811 in Sarajewo, Bosnien, gest. 1875 in Wien. [BHR1],,,
Baschwitz, Hirsch (hebr. Zwi-H.), gest. 26. Nov. 1837 in Frankfurt/Oder. [BHR1],,,,,
Baszynski, A[isik?], fälschlich Isaak Kaschinski, gest. 23. Juni 1861 in Inowrocław (Inowrazlaw), Prov. Posen. [BHR1],,,
Baumer, Wolf, geb. ca. 1797 in Mladá Boleslav (Jungbunzlau), Zentralböhmen. [BHR1],,,,
Baumgarten, Abraham, auch A. Prostitz, geb. in Kroměříž (Kremsier), Mähren, gest. 1820 in Úsov (Mährisch-Aussee). [BHR1],,
Beer b. Juspa, geb. ca. 1765, gest. 1815 in Hamburg. [BHR1],,,,,
Beer, Isaac, gest. 16. Feb. 1827 in Aurich, Ostfriesland. [BHR1],,,,
Beer, Jakob, geb. anscheinend in Osoblaha (Hotzenplotz) in Österr.- Schlesien, gest. 29. Siwan 1830 in Tiszabő, Ungarn. [BHR1],,,
Beer, Moses Salomon Hakohen. [BHR1],,,,,,
Beit, Lippmann, gest. 10. Mai 1798 in Hamburg. [BHR1],,,,,
Beit, Salomon, gest. 13. Juli 1825 in Hamburg. [BHR1],,,,,
Bendix, Dr. [BHR1],,,,,,
Benesch, Lazar, geb. in Vrutice bei Mladá Boleslav (Jungbunzlau), Zentralböhmen, gest. 1891 in Kardašova Řečice (Kardaš-Řečitz) bei Jindřichův Hradec (Neuhaus) in Südböhmen. [BHR1],,,
Benet, Jesaja, geb. 1792 in Mikulov (Nikolsburg), Mähren, gest. 18. Dez. 1864 in Nagykálló, Ungarn. [BHR1],,
Benet, Mordechai, bürgerlich Markus Benedikt, geb. 1753 in Csurgó (Sürge) b. Székesfehérvár (Stuhlweißenburg) in Ungarn, gest. 12. Aug. 1829 in Karlsbad, Westböhmen. [BHR1],,
