fn,ln,misc1,misc2,misc3,misc4,misc5,misc6
Reiniger, Jesaias, geb. ca. 1782 in Strážnice (Straßnitz), Mähren, gest. 25. Febr. 1857 in Hranice (Mährisch-Weißkirchen). [BHR1],,,
Reiniz, Nathan-Feitel, geb. in Hranice (Mährisch-Weißkirchen), gest. 9. April 1862 in Mád, Ungarn. [BHR1],,,
Reis, Abraham, englisch A. Rice, geb. 1802 in Gochsheim b. Schweinfurt, gest. 29. Okt. 1862 in Baltimore, USA. [BHR1],,
Reisner, Jonas, geb. 1785, gest. 1824 in Zduny (Sadon), Prov. Posen. [BHR1],,,
Reiss, Alexander, geb. ca. 1775 in Hagenthal-le-Bas (Niederhagenthal), Oberelsaß, gest. 1854 in Breisach, Baden. [BHR1],,
Reiss, Moses, geb. 11. Dez. 1802 in Karlsruhe, gest. 8. Okt. 1878 in Breisach. [BHR1],,,,
Reiss, Seligmann, eigentlich Pinchas R., geb. 1764 vermutlich im Elsaß, gest. 1831 in Karlruhe. [BHR1],,,
Richen, Löb Herz, auch L. Richheimer, geb. 1733 in Richen b. Eppingen, gest. 17. Mai 1815 in Heidelberg. [BHR1],,,
Richter, Emanuel Kalman, geb. 1732 in Ubstadt, gest. 11. März 1812 in Buchen, Baden. [BHR1],,,
Ris, Abraham, geb. 1763/64 in Hagenthal-le-Bas (Niederhagenthal), Oberelsaß, gest. 19. April 1834 in Endingen im Aargau, Schweiz. [BHR1],,
Ris, Raphael, geb. 14. Mai 1728 in Hagenthal-le-Bas (Niederhagenthal), Oberelsaß, gest. 25. Mai 1813 in Endingen im Aargau, Schweiz. [BHR1],,
Ritter, Immanuel Heinrich, Dr., geb. 13. März 1825 in Racibórz (Ratibor), Oberschlesien, gest. 9. Juli 1890 in Johannisbad. [BHR1],,
Rokeach, Eleazar. [BHR1],,,,,,
Romann, Philipp, Dr., geb. 3. März 1810 in Heidingsfeld b. Würzburg, gest. 17. Aug. 1842 in Kassel. [BHR1],,,
Ronsburg, Bezalel, bürgerlich Daniel Rosenbaum, geb. 1762 in Prag, gest. 25. Sept. 1820 das. [BHR1],,,
Roos, Kaufmann, geb. 1805 in Lichtenau, Baden, gest. 1876 vermutlich in Schmieheim b. Offenburg. [BHR1],,,
Roos, Löb Moses, bürgerlich Leopold R., geb. 1768 in Rosheim, Oberelsaß, gest. 29. Okt. 1838 in Grünstadt, Pfalz. [BHR1],
Rosenau, Abraham. [BHR1],,,,,,
Rosenbach, Aron, geb. Apr. 1772 in Offenbach, gest. 20. Okt. 1827 in Kassel. [BHR1],,,,
Rosenbacher, Aron, geb. 21. März 1795 in Sulzbach, gest. 30. Mai 1870 in Prag. [BHR1],,,,
Rosenbaum, Elias Raphael, geb. 1808 in Theilheim bei Würzburg, Unterfranken, gest. nach 1886. [BHR1],,,
Rosenbaum, Emmanuel-Männlein. [BHR1],,,,,,
Rosenbaum, Izik Löb, geb. in Höchberg bei Würzburg, gest. 1810 in Theilheim. [BHR1],,,,
Rosenbaum, Jona, geb. 1822, gest. 1894. [BHR1],,,,
Rosenbaum, Mendel, geb. 1783 in Theilheim bei Würzburg, gest. 27. Sept. 1868 in Zell bei Würzburg. [BHR1],,,,
Rosenbaum, Seckel, gen. Reb Seckel Delem, geb. 1777, gest. 25. Juni 1865 in Theilheim bei Würzburg. [BHR1],,,
Rosenberg, Jacob Moses, Dr., geb. 20. Aug. 1806 in Düsseldorf, gest. 14. Apr. 1868 in Frankfurt/M. [BHR1],,,
Rosenberg, Meyer, geb. in Prag, gest. 23. Dez. 1811 in Sobotište (Szobotist), Slowakei. [BHR1],,,
Rosenberg, Samuel. [BHR1],,,,,,
Rosenfeld, Abraham, geb. 1806 in Mannheim, gest. 21. Sept. 1867 das. [BHR1],,,,
Rosenfeld, Ascher, gest. 28. Sept. 1849 in Náchod, Ostböhmen. [BHR1],,,,
Rosenfeld, Baruch, geb. 1815. [BHR1],,,,,
Rosenfeld, Moses Jehuda, geb. ca. 1755 in Písečné (Piesling), Mähren, gest. 16. Febr. 1828 in Uherský Brod (Ungarisch-Brod). [BHR1],,,
Rosenfeld, Samson Wolf, geb. 1783 in Ühlfeld, Mittelfranken, gest. 12. Mai 1862 in Bamberg. [BHR1],,,
Rosenstein, Elchanan, geb. 1796 in Chodzież (Chodziesen), Prov. Südpreußen, gest. 14. Jan. 1869 in Berlin. [BHR1],,,
Rosenstein, Michael, Dr., geb. 21. Okt. 1832 in Neustadt-Gödens  [BHR1], Ostfriesland, gest. 12. Juli 1900 in Salzbrunn, d. i. vermutlich Szczawno-Zdrój (Bad Salzbrunn), Schlesien. [BHR1]
Rosenstein, Samuel-Sanwil, gest. 6. Feb. 1824 in Danzig. [BHR1],,,,,
Rosenstrauch, Wilhelm, hebr. Menachem Seev-Wolf. [BHR1],,,,,
Rosenthal, Ferdinand, Dr., geb. 10. Nov. 1838 in Balatonkenese (Kenese) am Plattensee in Ungarn, gest. 4. März 1921 in Breslau. [BHR1],,,
Rosenthal, Leeser, geb. 13. Apr. 1794 in Nasielsk bei Płock, Polen, gest. 7. Aug. 1868 in Hannover. [BHR1],,,
Rosenthal, Salomon. [BHR1],,,,,,
Rössler, Moses Löb. [BHR1],,,,,,
Roth, Herrmann, geb. 1834 in Miskolc (Miskolz), Ungarn, gest. 21. Feb. 1864 in Uherský Brod (Ungarisch-Brod), Mähren. [BHR1],,
Roth, Louis, Dr., geb. in Strzelce (Groß-Strehlitz), Oberschlesien. [BHR1],,,
Rothenheim, Wolf, geb. 1801 in Wallerstein, Bayer.-Schwaben, gest. vermutlich in den USA. [BHR1],,,
Rothschild, Callmann. [BHR1],,,,,,
Rothschild, David, Dr., geb. 16. Nov. 1816 in Hamm, Westf., gest. 28. Jan. 1892 in Aachen. [BHR1],,
Rothschild, Raphael, gest. Ende 18. Jh. in Stadtlengsfeld, Thüringen. [BHR1],,,,
Rothschild, Salomon-Salman, geb. 1804 in Randegg, Baden, gest. 27. Juni 1877 in Müllheim, Baden. [BHR1],,
Rothstein, Salkind. [BHR1],,,,,,
Rubert, Moses Menachem-Mendel, gest. 15. April 1794 in Altona. [BHR1],,,,,
Rubin, Samuel-Aron, gest. 18. Juli 1857 in Krotoszyn (Krotoschin), Prov. Posen. [BHR1],,,,
Rülf, Isaak, Dr., geb. 10. Feb. 1831 in Rauischholzhausen bei Marburg, gest. 18. Sept. 1902 in Bonn. [BHR1],,,
Saalschütz, Levin Joseph, geb. ca. 1754 in Österreich, gest. 8. Sept. 1823 in Königsberg. [BHR1],,,,
Sachs, Dob, geb. 1771 in Leszno (Lissa), Großpolen, gest. 20. Okt. 1834 in Łabiszyn (Labischin), Prov. Posen. [BHR1],,
Sachs, Jakob David, geb. 1749, gest. vor 1834. [BHR1],,,,
Sachs, Jakob Hirsch, geb. ca. 1794, gest. 1849 in Lidzbark Welski (Lautenburg), Westpreußen. [BHR1],,,
Sachs, Markus, geb. ca. 1795. [BHR1],,,,,
Sachs, Michael, Dr., geb. 3. Sept. 1808 in Glogau, gest. 31. Jan. 1864 in Berlin. [BHR1],,,
Sachs, Moritz. [BHR1],,,,,,
Sachs, Moses, geb. 1800 in Dreißigacker b. Meiningen, Thüringen, gest. 1870 in Jerusalem. [BHR1],,,
Sachs, Moses. [BHR1],,,,,,
Sachs, Salomon, geb. ca. 1795 in Strakonice (Strakonitz), Böhmen, gest. 30. April 1850 in Hroznětín (Lichtenstadt) b. Karlsbad. [BHR1],,,
Sachs, Simon, Dr., geb. in Glogau. [BHR1],,,,
Saft, Chaim. [BHR1],,,,,,
Salfeld, Sigmund, Prof. Dr., geb. März 1843 in Stadthagen, Fsm. Schaumburg-Lippe, gest. Mai 1926 in Mainz. [BHR1],,
Salinger, Michael, gest. 27. Kislew 1886 in Inowrocław (Inowrazlaw), Prov. Posen. [BHR1],,,,
Salomon (Schlome-Salman), gest. 22. Feb. 1803 in Krotoszyn (Krotoschin), Prov. Südpreußen. [BHR1],,,,,
Salomon b. Seev. [BHR1],,,,,,,
Salomon, Gotthold, eigentlich Salman Liepmann, geb. 1. Nov. 1784 in Sandersleben, Anhalt, gest. 17. Nov. 1862 in Hamburg. [BHR1],,
Salomon, Ludwig-Löb, geb. 12. Juni 1801 in Steinbach. [BHR1],,,,,
Salomon, Moses, geb. 1770, gest. 8. Jan. 1839 in Magdeburg. [BHR1],,,,
Salomon, Nathan, geb. 1762, gest. 16. Mai 1820 in Homburg/Saar. [BHR1],,,,
Salvendi, Adolf, Dr., hebr. Jakob Arje-Löb, geb. 10. Jan. 1837 in Nové Mesto nad Váhom (Waag-Neustadtl), Slowakei, gest. 23. Dez. 1914 in Karlsruhe. [BHR1],
Salzer, Moses, Dr., geb. 10. Dez. 1841 in Ermershausen, gest. 1902. [BHR1],,,
Sammter, Ascher, Dr., geb. 1. Jan. 1807 in Werna am Harz, gest. 5. Feb. 1887 in Berlin. [BHR1],,,
Samotsch, Hirsch (hebr. Zwi-H.), geb. 1740 in Zamość, Polen, gest. 21. Sept. 1807 in Altona. [BHR1],,,
Samst, Emanuel-Mendel, gen. M. Bass, geb. 1731 in Frankfurt/M., gest. 14. Aug. 1815 das. [BHR1],,,
Samst, Samuel (oder Salomon?), später S. Bass, geb. 1760 in Frankfurt/M., gest. 6. Aug. 1839 das. [BHR1],,,
Samter, Moses Gabriel, geb. 1802 in Leszno (Lissa). [BHR1],,,,,
Samter, Salomon, gest. 3. Feb. 1814 in Altona. [BHR1],,,,,
Samter, Tobias, geb. 23. Mai 1838 in Lwówek (Neustadt bei Pinne), Prov. Posen, gest. 1900 in Breslau. [BHR1],,,
Samuel-Sanwil, gest. 24. Ab 1817 in Oborniki (Obornik), Prov. Posen. [BHR1],,,,,
Sänger, Jonas, geb. 21. März 1803 in Buttenwiesen, Bay.-Schwaben, gest. 14. März 1880 das. [BHR1],,,
Sänger, Max, Dr., geb. 9. Jan. 1821 in Laupheim, Württ., gest. 27. April 1882 in Hamburg. [BHR1],,
Sarahson, Chajim Jechiel, gest. 12. Dez. 1874 in Gostyń, Prov. Posen. [BHR1],,,,
Sarner, Ferdinand Leopold, Dr., geb. ca. 1825 in Leszno (Lissa), Prov. Posen, gest. Aug. 1878 in Memphis, Tennessee. [BHR1],
Sauel, Judas, geb. ca. 1748. [BHR1],,,,,
Schach,] Aron b. Moses, bürgerlich A. Mosessohn, gen. Minath ’Aharōn, geb. in Glogau, gest. 19. Juni 1781 in Schwabach. [BHR1],,
Schach,] Aron b. Elieser, bürgerlich A. Lazarus, geb. 7. Aug. 1786 in Mainbernheim, Unterfranken, gest. 1854 in Schirrhoffen, Unterelsaß. [BHR1],
Schach,] Lazarus b. Aron, bürgerlich L. Aaron, L. Arens oder L. Schlesinger, geb. 1738 in Glogau, gest. 30. Jan. 1823 in Mainbernheim, Unterfranken. [BHR1],
Schach,] Meyer b. Aron, bürgerl. M. Arens, geb. in Glogau, gest. 25. Dez. 1808 das. [BHR1],,,
Schach,] Moses b. Elieser, bürgerlich Moises Lazarus, geb. Febr. 1773 in Glogau, gest. 9. April 1840 in Trier. [BHR1],,,
Schachne, gest. um 1851 in Choszczno (Arnswalde), Ostbrandenburg. [BHR1],,,,,
Schäfer, Elieser Josef Jakob, auch Jakob Iritz, geb. ca. 1744 vermutlich in Jiřice (Irritz) bei Miroslav (Mißlitz) in Mähren, gest. 1824 in Miroslav. [BHR1],,,
Schak, Nathan, gest. 1785 in Tachov (Tachau), Westböhmen. [BHR1],,,,
Schallinger, SamuelHakohen, geb. in Ivančice (Eibenschütz), Mähren. [BHR1],,,,
Schames, Jakob, gest. 18. März 1785 in Frankfurt/M. [BHR1],,,,,
Scheie, Nathan-Nata, gest. 14. Okt. 1863 in Ostrów Wielkopolski (Ostrowo), Prov. Posen. [BHR1],,,,
Scheuer, Feitel, geb. ca. 1775. [BHR1],,,,,
Scheuer, Herz, hebr. Abraham-Naftali-Herz ben David, bürgerlich David S., geb. Ende 1753 [1756 nach dem Mainzer jüdischen Familienbuch], gest. 10. Okt. 1822 in Mainz. [BHR1],,
Scheuer, Löb (hebr. Juda-L.), geb. 1733 in Frankfurt/M., gest. 24. Jan. 1821 in Düsseldorf. [BHR1],,,,
Scheuer, Michel, geb. 1738 in Frankfurt/M., gest. 13. Aug. 1809 in Karlsruhe. [BHR1],,,,
Scheuer, Tewele, hebr. Jakob-Moses-David b. Michael, geb. 1711 in Frankfurt/M., gest. 30. Sept. 1782 in Mainz. [BHR1],,,
Schick, Abraham, gest. 19. Juli 1830 in Győr (Raab), Ungarn. [BHR1],,,,
Schick, Lazar, Dr., geb. 17. Sept. 1834 in Senica (Szenitz), Slowakei, gest. vermutlich 1901 in Sępólno Krajeńskie (Zempelburg), Prov. Westpreußen. [BHR1],
Schidloff, Isak, geb. 28. Feb. 1817 in Tučapy (Tutschap) in Südböhmen, gest. 12. Nov. 1898 in Tachov (Tachau), Westböhmen. [BHR1],,,
Schidloff, Jakob. [BHR1],,,,,,
Schiff, Mayer, gest. 13. Aug. 1807 in Frankfurt/M. [BHR1],,,,,
Schiff, Tewele, geb. in Frankfurt/M., gest. 1792 in London. [BHR1],,,,
Schiffmann, Moses, geb. 1811 in Libeň (Lieben) b. Prag, gest. 12. Jan. 1894 in Prag. [BHR1],,,,
Schlank, Hirsch (hebr. Zwi-H.), auch H. Schönlank. [BHR1],,,,,
Schlank, Mordechai, auch M. Schönlank, geb. 1773 in Trzcianka (Schönlanke), Netzedistrikt, gest. 6. Aug. 1861 in Jerusalem. [BHR1],,
Schlenker, Seligmann, Dr., geb. 13. Juni 1800 [1801 nach Familienbogen] in Fürth, gest. 14. Jan. 1860 in Regensburg. [BHR1],,,
Schlesinger, D. [BHR1],,,,,,
Schlesinger, Gottschalk, hebr. Eliakim b. David, geb. 16. Aug. 1813 in Flehingen, Baden, gest. 14. Sept. 1900 in Hamburg. [BHR1],,
Schlesinger, Maier, Dr., geb. 1837 in Byczyna (Pitschen), Schlesien. [BHR1],,,
Schlesinger, Naftaly. [BHR1],,,,,,
Schlessinger, Wolf, geb. 1812 in Frankfurt/M., gest. 6. Nov. 1854 das. [BHR1],,,,
Schloss, Aron. [BHR1],,,,,,
Schloss, Levi Joseph, geb. 1743 in Sontra, Hessen, gest. 4. Jan. 1826 in Wanfried a. d. Werra. [BHR1],,,
Schmarje b. Nathan. [BHR1],,,,,,,
Schmelkes, Samuel, geb. in Dukla, Westgalizien, gest. 11. Jan. 1805 in Mladá Boleslav (Jungbunzlau), Zentralböhmen. [BHR1],,
Schmiedl, Adolf, Dr., geb. 26. Jan. 1821 in Prostějov (Proßnitz), Mähren, gest. 14. Nov. 1913 in Wien. [BHR1],,
Schmiedl, Juda, geb. 1776 in Ivančice (Eibenschütz), Mähren, gest. 7. Nov. 1855 in Osoblaha (Hotzenplotz), Österr.-Schlesien. [BHR1],,
Schnaittach, Joseph, bürgerlich Joseph Mayer, geb. 13. Sept. 1774 in Fürth, gest. 31. Mai 1861 in Freudental, Württ. [BHR1],,
Schnaittach, Nathan, geb. in Fürth. [BHR1],,,,,
Schnaittacher, Bär Hajum, geb. 1758 vermutlich in Schnaittach, gest. 14. Jan. 1827 in Welbhausen, Mittelfranken. [BHR1],,,
Schneidemühl, Hirsch (hebr. Zwi-H.), geb. 1. Dez. 1803 in Piła (Schneidemühl), gest. 4. Mai 1875 in Oborniki (Obornik), Prov. Posen. [BHR1],,,
Schnitzler, Salomon Wolff. [BHR1],,,,,,
Schochet, Löb (hebr. Jakob Arjeh-L.), gest. 9. Febr. 1855 in Inowrocław (Inowrazlaw), Prov. Posen. [BHR1],,,,
Schöpflich, Anselm-Anschel, franz. A. Chœpplé oder A. Lévi, geb. 1773 in Rosheim, Oberelsaß, gest. 1846 in Haguenau (Hagenau), Unterelsaß. [BHR1],
Schott, Leopold(hebr. Juda-Löb), geb. 27. Juni 1807 in Randegg, Baden, gest. 20. Jan. 1869 in Bühl, Baden. [BHR1],,
Schotten, Hillel, geb. 1755 in Mannheim, gest. 18. Juli 1823 das. [BHR1],,,,
Schotten, Joseph-Jospe. [BHR1],,,,,,
Schotten, Samuel, geb. in Frankfurt/M., gest. 13. Okt. 1796 in Mannheim. [BHR1],,,,
Schotten, Samuel, genannt S. Frankfurter, gest. 1782 in Mattersdorf (Mattersburg), Burgenland. [BHR1],,,
Schreiber, Benjamin, geb. 1779, gest. 13. Febr. 1839 in Grodzisk (Grätz), Prov. Posen. [BHR1],,,
Schreiber, Josef Löwy. [BHR1],,,,,,
Schreiber, Meier, geb. 1805. [BHR1],,,,,
Schreiber, Salomon, gest. 22. Jan. 1894 in Ostrzeszów (Schildberg), Prov. Posen. [BHR1],,,,
Schrötter, David, geb. in Lipník (Leipnik), Mähren, gest. 20. Jan. 1882 das. [BHR1],,,
Schrötter, Elieser, geb. in Lipník (Leipnik), Mähren, gest. 27. Sept. 1863 Rb. in Topoľčany (Nagytapolcsány), Slowakei. [BHR1],,
Schrötter, Israel Chaim, bürgerlich Josef Joachim S., geb. ca. 1801 in Lipník (Leipnik), Mähren, gest. 20. Dez. 1839 in Břeclav (Lundenburg). [BHR1],,
Schüler, Israel-Eisle, geb. in Autenhausen im Landgericht Dambach. [BHR1],,,,,
Schüller, Aron, bürgerlich A. Schiller, gest. 4. Feb. 1846. [BHR1],,,,
Schüller, Josef. [BHR1],,,,,,
Schulmann, David Lewin, geb. 1754 in Hildesheim, gest. 1814/15 in Paderborn. [BHR1],,,,
Schwab, Aron, geb. in Moravský Krumlov (Kromau), Mähren, gest. 19. Dez. 1875 das.- Sohn des Mordechai S. und jüngerer Bruder des späteren Pester Oberrb. Löb S.; 1831 Dajan in Osoblaha (Hotzenplotz) [BHR1], Österr.-Schlesien, 1870 kehrt er nach Moravský Krumlov zurück, wo er seit 1871 die Rabbinerstelle versieht. DOK. ZA Brünn
Schwab, Emanuel, geb. 10. Okt. 1812 in Heidingsfeld bei Würzburg, gest. 25. Juli 1869 in [Illereichen-]Altenstadt, Bay.-Schwaben. [BHR1],,,
Schwab, Isaak, gest. 9. März 1789 in Hamburg. [BHR1],,,,,
Schwab, Löb, geb. 11. März 1794 in Moravský Krumlov (Kromau), gest. 3. Apr. 1857 in Pest. [BHR1],,,,
Schwab, M. L. [BHR1],,,,,,
Schwab, Wolf, gen. W. Fellheimer oder Fehlheim, geb. vermutlich in Fellheim, Unterallgäu, gest. 1827 in Bayreuth. [BHR1],,
Schwabacher, Jakob Samuel, geb. in Fürth, gest. ca. 1818. [BHR1],,,,
Schwabacher, Simeon Löb, Dr., geb. 24. Apr. 1819 in Oberdorf, Württ., gest. 28. Nov. 1888 in Odessa. [BHR1],,
Schwarz, Adam. [BHR1],,,,,,
Schwarz, Hayum, geb. 18. Juli 1800 in Floß, Oberpfalz, gest. 3. Mai 1875 in Hürben b. Krumbach, Bayer.-Schwaben. [BHR1],,
Schwarz, Heinrich, geb. 1824 in Kępno (Kempen), Prov. Posen. [BHR1],,,,
Schwarz, Israel, Dr., geb. 21. Nov. 1828 in Hürben, Bayer. Schwaben, gest. 4. Jan. 1875 in Köln. [BHR1],,
Schwarzkopf, Abraham. [BHR1],,,,,,
Schwarzkopf, Benedikt, geb. ca. 1797. [BHR1],,,,,
Schwarzkopf, Salomon. [BHR1],,,,,,
Schwarzschild, Aron Moses, gest. vor 1812 in Frankfurt/M. [BHR1],,,,,
Schwarzschild, Moses, geb. 1750 in Frankfurt/M., gest. 20. Mai 1834 das. [BHR1],,,,
Schwarzschild, Moses, geb. 1804 in Hanau, gest. 5. Jan. 1875 in Schlüchtern, Kurhessen. [BHR1],,,
Schwarzstein, Israel, Dr., geb. 1840 in Ungarn. [BHR1],,,,
Schwerin, Eliakim-Götz, geb. 1762 in Skwierzyna (Schwerin an der Warthe), Großpolen, gest. 15. Jan. 1852 in Baja, Ungarn. [BHR1],,
Seckendorf, Salomon. [BHR1],,,,,,
Seev, Nehemias. [BHR1],,,,,,
Segall, Benjamin Sebulon. [BHR1],,,,,,
Sekelsohn, M. [BHR1],,,,,,
Sekelssohn, A. [BHR1],,,,,,
Selig, Ruben, gest. 7. Aug. 1828 in Hannover. [BHR1],,,,,
Selig, Samson, gest. 11. Apr. 1841 in Wolsztyn (Wollstein), Prov. Posen. [BHR1],,,,
Seligmann, Aaron, geb. ca. 1805 in Baiersdorf b. Erlangen, gest. nach 1864. [BHR1],,,,
Seligmann, Joel, geb. 17. Febr. 1744, gest. 22. Juni 1829 in Fellheim, Unterallgäu. [BHR1],,,
Seligmann, Löb, geb. 1804 in Diespeck, Mittelfranken, gest. Nov. 1857 in Stockholm. [BHR1],,,
Seligmann, Ludwig, geb. 1813 in Winzingen, Pfalz, gest. 27. Juni 1879 in Kaiserslautern. [BHR1],,,
Seligsberg, Marx Hayum, Dr., später auch Max Heinrich Seligsberger, geb. 1799 in Baiersdorf b. Erlangen, gest. 19. Nov. 1877 in Fellheim, Unterallgäu. [BHR1],
Selka, Israel Hirsch, gest. Cheschwan 1827 in Obrzycko (Obersitzko), Prov. Posen. [BHR1],,,,
Selz, Elkan, geb. 19. Sept. 1808 in Harburg, Bay.-Schwaben, gest. nach 1881. [BHR1],,,
Selz, Hayum, geb. 30. Mai 1802 in Harburg, Ftm. Öttingen- Wallerstein, gest. 31. Okt. 1876 in Ühlfeld, Mittelfranken. [BHR1],,
Semnitz, Jechiel Zwi. [BHR1],,,,,,
Semo, Abraham. [BHR1],,,,,,
Semo, Sabbatay, geb. 1780 in Vidin, Bulgarien, gest. 1843 in Wien. [BHR1],,,
Sichel, Leopold-Lemle, geb. 15. Sept. 1809 in Buchen im Odenwald, gest. 30. Dez. 1854 in Mannheim. [BHR1],,,,
Silber, J. [BHR1],,,,,,
Silber, Jakob, geb. 1763. [BHR1],,,,,
Silberkron, Jakob, geb. 1752 vermutlich in Frankfurt/M., gest. 23. Jan. 1838 das. [BHR1],,,,
Silbermann, Lasar, Dr. h. c., geb. 7. Sept. 1819 in Königsberg, gest. 15. März 1882 in Ełk (Lyck), Ostpreußen. [BHR1],,
Silberstein, Michael, Dr., geb. 21. Nov. 1834 in Witzenhausen, Kurhessen, gest. 13. Okt. 1910 in Wiesbaden. [BHR1],,
Simon b. Jona, gest. 24. April 1793 in Altona. [BHR1],,,,,,
Singer, Jakob. [BHR1],,,,,,
Singer, Löb, geb. in Strážnice (Straßnitz), Mähren, gest. in Brünn. [BHR1],,,
Singer, Moritz, geb. ca. 1813 in Všeratice ( Wsseratitz, Saazer Kreises ), Nordböhmen. [BHR1],,,
Singer, Moses. [BHR1],,,,,,
Sinzheim, Josef-David, gen. Yad Dāwid, franz. J.-D. Sintzheim, geb. 16. Nov. 1745 in Trier, gest. 10. Feb. 1812 in Paris. [BHR1],,
Skag, Hirsch Hakohen, geb. vermutlich in Skoki (Schocken) bei Posen. [BHR1],,,,,
Skutsch, Pinkus, gest. 9. Juni 1819 in Kriegshaber b. Augsburg. [BHR1],,,,,
Skutsch, Eisik, geb. 17. Aug. 1800 in Kriegshaber bei Augsburg, gest. 8. Feb. 1873 in Treuchtlingen, Mittelfranken. [BHR1],,,
Sobernheim, Isaak Rafael, Dr., geb. 25. Juli 1807 in Bingen, gest. 20. Juni 1869 das. [BHR1],,,
Sofer, Moses, auch M. Schreiber, postum gen. ātham-Sōfer, geb. 24. Sept. 1762 in Frankfurt/M., gest. 3. Okt. 1839 in Preßburg. [BHR1],,
Sofer, Nachum, gest. 10. Mai 1815 in Tachov (Tachau),Westböhmen. [BHR1],,,,
Sondheimer, Hillel, Dr., geb. 10. Okt. 1840 in Eppingen, Baden, gest. 16. Juni 1899 in Heidelberg. [BHR1],,
Sonnentheil, Emanuel, geb. 1770, gest. Juni 1849 in Regensburg. [BHR1],,,,
Sonneschein, Salomon Hirsch, Dr., geb. 24. Juni 1839 in Martin (Turocszentmárton), Slowakei, gest. 3. Okt. 1908 in den USA. [BHR1],,
Sontheim, Moses Tobias, geb. 11. Januar 1755 in Sontheim b. Heilbronn, gest. 20. September 1830 in Hanau. [BHR1],,,,
Sontheimer, Hillel Wolf, geb. 18. Okt. 1748 in Sontheim bei Heilbronn, gest. 2. März 1832 in Aschaffenburg. [BHR1],,,,
Sophar, Wolf, Dr. (Ze'ev-W., auch Wilhelm S.), geb. 14. Juli 1806 in Altona, gest. 5. Aug. 1883 in Bad Wildungen. [BHR1],,
Speyer, Michel, geb. ca. 1740 in Frankfurt/M., gest. 27. Mai 1822 in Dessau. [BHR1],,,,
Speyer, Samuel, Dr., geb. 7. März 1838 in Burghaun in Kurhessen. [BHR1],,,,
Spiro, Benjamin-Wolf, geb. in Prag, gest. 1792 in Pfersee bei Augsburg. [BHR1],,,,
Spiro, Elias, geb. 1777 (1797?), gest. 13. Okt. 1855 in Inowrocław (Inowrazlaw), Prov. Posen. [BHR1],,,
Spiro, Elieser, auch Leiser Lisser. [BHR1],,,,,
Spiro, Jacob Cohen. [BHR1],,,,,,
Spiro, Joachim. [BHR1],,,,,,
Spiro, Joseph-Joske, geb. 1767 in Rawicz, Großpolen, gest. 29. Sept. 1853 in Inowrocław (Inowrazlaw), Prov. Posen. [BHR1],,
Spiro, M. L. [BHR1],,,,,,
Spiro, Moses Joseph, geb. ca. 1770 in Třešť (Triesch), Mähren, gest. 3. Aug. 1830 in Dolní Kounice (Kanitz). [BHR1],,,
Spitz, Abraham Löb. [BHR1],,,,,,
Spitz, Aron Halevi, gest. 1816 in Holíč (Holitsch), Slowakei. [BHR1],,,,
Spitz, Isak, geb. 1766 in Kolín, gest. 6. Mai 1842 in Mladá Boleslav (Jungbunzlau), Böhmen. [BHR1],,,
Spitz, Moises. [BHR1],,,,,,
Spitz, Zacharias, geb. in Telice (Dölitschen), Westböhmen, gest. 6. April 1883 wahrscheinlich in Golčův Jeníkov (Goltsch-Jenikau), Ostböhmen. [BHR1],,
Spitzer, Salomon-Salman, geb. 1826 in Buda (Alt-Ofen), gest. 5. Dez. 1893 in Wien. [BHR1],,,,
Staadecker, Zacharias Issaschar, geb. 21. Juli 1799 in Merchingen, Baden, gest. 25. Aug. 1857 das. [BHR1],,,
Stadthagen, David, Dr., geb. 15. April 1822 in Międzyrzecz (Meseritz), Prov. Posen. [BHR1],,,
Stadthagen, Ephraim. [BHR1],,,,,,
Stampfen, Koppel. [BHR1],,,,,,
Stark, M. [BHR1],,,,,,
Steg, Samuel Gerson, geb. in Steeg bei Koblenz, gest. 1807 in Warburg. [BHR1],,,,
Stein, Abraham, geb. ca. 1769 vermutlich in Sulzdorf a. d. Lederhecke, Unterfranken, gest. 28. Juni 1846 in Adelsdorf, Oberfranken. [BHR1],,
Stein, Abraham, Dr., geb. 13. Jan. 1818 in Wanfried a. d. Werra, Kurhessen, gest. 30./31. Aug. 1884 in Prag. [BHR1],,
Stein, Alexander, Dr., geb. 1. Okt. 1843 in Grombach bei Sinsheim, Baden, gest. 1914 in Karlsruhe. [BHR1],,
Stein, Jakob, geb. 1821. [BHR1],,,,,
Stein, Leopold, Dr., geb. Herbst 1810 in Burgpreppach, Unterfranken, gest. 2. Dez. 1882 in Frankfurt/M. [BHR1],,
Stein, Menachem Levi. [BHR1],,,,,,
Stein, Wilhelm. [BHR1],,,,,,
Steinacher, Wolf, geb. 20. August 1764 in Friesenhausen, Unterfranken, gest. 23. Dez. 1835 in Mühlhausen, Oberfranken. [BHR1],,
Steiner, Samuel, gest. 6. Juni 1861 in Ivančice (Eibenschütz), Mähren. [BHR1],,,,
Steinhardt, Akiba, geb. 1788 in Fürth, gest. 30. Jan. 1846 in Dolný Kubín (Alsókubin), Slowakei. [BHR1],,,
Steinhardt, Jakob. [BHR1],,,,,,
Steinhardt, Löb, geb. in Fürth. [BHR1],,,,,
Steinhardt, Menachem-Mendel, geb. 1768 in Fürth, gest. 28. Sept. 1824 in Paderborn. [BHR1],,,,
