Name,ID,GND
BLATT - Moses - bürgerlich Markus B. ,155,http://d-nb.info/gnd/1060213648
BLEICHRODE - Hirsch (hebr. Naftali-H.) ,156,http://d-nb.info/gnd/1060065193
BLOCH - Aron ,157,http://d-nb.info/gnd/106013053X
BLOCH - Beer ,158,NA
BLOCH - Eleasar ,159,http://d-nb.info/gnd/1060077507
BLOCH - Issaschar-Beer - auch Beer HAMBURG ,160,http://d-nb.info/gnd/1060078635
BLOCH - Mendl ,161,NA
BLOCH - Moses ,162,NA
BLOCH - Moses Löb ,163,http://d-nb.info/gnd/143345397
BLOCH - S. M. ,164,NA
BLOCH - Salomon - früher Ascher SEELIGMANN ,165,NA
BLOWITZ - Isak ,166,NA
BLÜCHER - Ephraim Israel - Dr. ,167,http://d-nb.info/gnd/1052516459
BLÜH - Abraham - Dr. ,168,http://d-nb.info/gnd/1075930472
BLUM - Salomon Aron ,169,NA
BLÜMLEIN - Moses ,170,NA
BOCK - Jaker Markus - vielleicht Jakev M. B ,171,NA
BODENHEIMER - Löb - Dr. - auch Levi B. ,172,http://d-nb.info/gnd/136605796
BÖHEIM - Abraham ,173,NA
BÖHM - Gabriel ,174,http://d-nb.info/gnd/1060078880
BONDI - Abraham ,175,http://d-nb.info/gnd/1060215667
BONDI - Elias ,176,http://d-nb.info/gnd/1060130041
BONDI - Elieser ,177,http://d-nb.info/gnd/1060213915
BONDI - Moses-Jona ,178,NA
BONDI - Nehemia-Feitel ,179,http://d-nb.info/gnd/1060214148
BONDI - Philipp - Dr. - tschech. Filip BONDY ,180,http://d-nb.info/gnd/1060270919
BONDI - Samuel ,181,http://d-nb.info/gnd/136442471
BORCHARDT - Isaak I. ,182,NA
BOSKOWITZ - Wolf - hebr. Zeev-W. - bürgerlich Wolf Samuel LEVI ,183,http://d-nb.info/gnd/1053384297
BRADY - Moses ,184,NA
BRANDEIS - Moses Abraham ,185,NA
BRANDENBURG - Sanwel ,186,http://d-nb.info/gnd/1060118610
BRANN - Isaak - Dr. ,187,http://d-nb.info/gnd/1060064146
BRANN - Salomon - Dr. ,188,http://d-nb.info/gnd/106006376X
BRESLAU - David ,189,http://d-nb.info/gnd/1064606652
BRESLAU - Leibusch (hebr. Arjeh-L.) - bürgerlich Levi HEYMAN ,190,http://d-nb.info/gnd/1075922003
BRESLAUER - Michael ,191,http://d-nb.info/gnd/1034697501
BRETZFELD - Simon Naphtali ,192,NA
BRETZFELD - Wolf ,193,NA
BRETZFELDER - Meyer - auch M. HELLER ,194,NA
BRIESKER - Markus ,195,http://d-nb.info/gnd/1075922054
BRILL - Joel ,196,NA
BRISCH - David ,197,http://d-nb.info/gnd/1060130270
BRISCH - Elieser ,198,http://d-nb.info/gnd/1060272571
BRISCH - David ,199,NA
BRISCH - Jacob ,200,http://d-nb.info/gnd/1060079070
BROD - Aron M ,201,NA
BROD - Mordechai ,202,http://d-nb.info/gnd/1060388162
BROD - Samuel ,203,http://d-nb.info/gnd/1060212145
BRODA - Abraham ,204,NA
BRODA - Hirsch (hebr. Zwi-H.) ,205,http://d-nb.info/gnd/1060273845
BRODDA - Saul ,206,NA
BROHN - Heimann ,207,http://d-nb.info/gnd/1060216310
BRÜLL - Jakob ,208,http://d-nb.info/gnd/135648084
BRÜLL - Nehemiah - Dr. ,209,http://d-nb.info/gnd/116751215
BRUMMEL - Markus ,210,http://d-nb.info/gnd/1060214431
BRUMOV - Markus ,211,NA
BRÜNN - Izik ,212,NA
BRUNNER - Juda ,213,http://d-nb.info/gnd/1060210746
BRUNNER - Wolf ,214,NA
BUCHHEIM - David ,215,http://d-nb.info/gnd/1060213338
BUCHHEIM - Gerson ,216,http://d-nb.info/gnd/1060274507
BUCHHOLZ - Peter - Dr. ,217,NA
BUNZEL - Bermann ,218,http://d-nb.info/gnd/1060214326
BUNZELFEDERN - Elias ,219,http://d-nb.info/gnd/1060079321
BUTTENWIESER - Joseph Löw Jakob (hebr. J. Arje-L. J.) ,220,NA
BUTTENWIESER - Samuel ,221,NA
BYK - Michael Samuel ,222,http://d-nb.info/gnd/1060130807
CAHN - Elias - Dr. ,223,NA
CALMON - Isaac ,224,http://d-nb.info/gnd/-
CALVARY - Jakob - auch J. CALVORY - KALFARI oder KALIPHARI ,225,http://d-nb.info/gnd/1058225502
CALVARY - Moses ,226,http://d-nb.info/gnd/1058140434
CARLBURG - Löb (hebr. Juda-L.) ,227,http://d-nb.info/gnd/1023016834
CARLEBACH - Salomon - Dr. ,228,NA
CARMOLY - Eliakim - Dr. - eigentlich Goschel David Behr ,229,http://d-nb.info/gnd/101528258X
CARO - Abraham ,230,NA
CARO - Abraham Jesaja ,231,http://d-nb.info/gnd/1058244906
CARO - Hirsch ,232,http://d-nb.info/gnd/1059422859
CARO - Hirsch ,233,NA
CARO - Hirsch ,234,http://d-nb.info/gnd/1058247344
CARO - Hirsch Isaak ,235,http://d-nb.info/gnd/1059950081
CARO - Isaak-Seelig ,236,http://d-nb.info/gnd/1058246135
CARO - Israel ,237,http://d-nb.info/gnd/1058247158
CARO - Jakob ,238,http://d-nb.info/gnd/106255504X
CARO - Jakob ,239,http://d-nb.info/gnd/1060927861
CARO - Jecheskel - Dr. ,240,http://d-nb.info/gnd/1012975843
CARO - Joseph Heimann ,241,NA
CARO - Julius ,242,http://d-nb.info/gnd/1060882019
CARO - Liepmann ,243,http://d-nb.info/gnd/1058247581
CARO - Löb (hebr. Arjeh-L.) - bürgerlich Lewin C. - gen. „Löb Charif“ ,244,http://d-nb.info/gnd/1059423502
CARO - Naftali ,245,http://d-nb.info/gnd/1059424150
CARO - Salomon ,246,NA
CARO - Salomon - Dr. ,247,http://d-nb.info/gnd/1059497239
CARO - Samuel J. ,248,http://d-nb.info/gnd/1059498693
CASSEL - Aron - Dr. ,249,http://d-nb.info/gnd/1059424371
CASSUTO - Jehuda ,250,http://d-nb.info/gnd/1053069677
CERF - Moyse - dt. vermutlich Moses HIRSCH ,251,NA
Chaim Jona ,252,NA
CHAIM - Abraham ,253,NA
CHAIM - Elias Jakob ,254,http://d-nb.info/gnd/1058195352
