fn,ln,geb,gest,BHR
Brüll,Jakob,1812,1889,BHR1
Brüll,Nehemiah,1843,1891,BHR1
Brummel,Markus. ,,,BHR1
Brumov,Markus. ,,,BHR1
Brünn,Izik. ,,,BHR1
Brunner,Juda,1813,1892,BHR1
Brunner,Wolf. ,,,BHR1
Buchheim,David,,1841,BHR1
Buchheim,Gerson,,1846,BHR1
Buchholz,Peter,1837,1892,BHR1
Bunzel,Bermann,1800,1855,BHR1
Bunzelfedern,Elias,1799,1843,BHR1
Buttenwieser,Joseph Löw Jakob (hebr. J. Arje-L. J.),1780,1852,BHR1
Buttenwieser,Samuel,1738,1807,BHR1
Byk,Michael Samuel,1770,,BHR1
Cahn,Elias,1808,1888,BHR1
Calmon,Isaac,1753,,BHR1
Calvary,Jakob,,1836,BHR1
Calvary,Moses,,1867,BHR1
Carlburg,Löb(hebr. Juda-L.),1765,1835,BHR1
Carlebach,Salomon,1845,1919,BHR1
Carmoly,Eliakim,1802,1875,BHR1
Caro,Abraham,,1858,BHR1
Caro,Abraham Jesaja,1827,1888,BHR1
Caro,Hirsch,,1833,BHR1
Caro,Hirsch. ,,,BHR1
Caro,Hirsch,1829,1894,BHR1
Caro,Hirsch Isaak,,1844,BHR1
Caro,Isaak-Seelig,,1802,BHR1
Caro,Israel. ,,,BHR1
Caro,Jakob,,1847,BHR1
Caro,Jakob. ,,,BHR1
Caro,Jecheskel,1844,1915,BHR1
Caro,Joseph Heimann,1805,1895,BHR1
Caro,Julius,1832,1912,BHR1
Caro,Liepmann,,1796,BHR1
Caro,Löb (hebr. Arjeh-L.),,1797,BHR1
Caro,Naftali,1798,1877,BHR1
Caro,Salomon. ,,,BHR1
Caro,Salomon,1825,1859,BHR1
Caro,Samuel J.,1794,1875,BHR1
Cassel,Aron,1817,1896,BHR1
Cassuto,Jehuda,1808,1893,BHR1
Chaim Jona. ,,,,BHR1
Chaim,Abraham,,1856,BHR1
Chaim,Elias Jakob,,1900,BHR1
Chajes,Gerson,1712,1789,BHR1
Chalfan,Aron Löb,,1782,BHR1
Chalfan,Gabriel,,1791,BHR1
Chefetz,Moses,,1807,BHR1
Chelm,Abraham,,1785,BHR1
Chlumetzer,Elias,,1822,BHR1
Chorin,Aron,1766,1844,BHR1
Chronik,Isaac Löw,1825,1886,BHR1
Cohen,Abraham. ,,,BHR1
Cohen,Asser Daniel,1794,1862,BHR1
Cohen,Baruch. ,,,BHR1
Cohen,David. ,,,BHR1
Cohen,Herschel (hebr. Zwi-H.),1755,1827,BHR1
Cohen,Moses,1785,1843,BHR1
